Time (s),Target (RPM),Actual (RPM),PWM Output,Loop Time (s)
0.0,30.0,0.0,45.0,0.0
0.05,30.0,17.11,20.3,0.0501
0.1,30.0,20.56,15.83,0.05
0.15,30.0,13.72,27.32,0.05
0.2,30.0,13.72,28.54,0.05
0.25,30.0,18.86,21.66,0.05
0.3,30.0,17.14,25.22,0.05
0.35,30.0,17.14,26.17,0.05
0.4,30.0,17.14,27.14,0.05
0.45,30.0,18.8,25.49,0.0501
0.5,30.0,18.92,26.14,0.0498
0.55,30.0,18.86,27.06,0.05
0.6,30.0,18.85,27.92,0.05
0.65,30.0,18.86,28.74,0.05
0.7,30.0,20.57,26.88,0.05
0.75,30.0,20.58,27.58,0.05
0.8,30.0,18.85,31.0,0.05
0.85,30.0,22.29,26.42,0.05
0.9,30.0,20.57,29.71,0.05
0.95,30.0,20.58,30.4,0.05
1.0,30.0,22.29,28.42,0.05
1.05,30.0,20.57,31.7,0.05
1.1,30.0,22.28,29.71,0.05
1.15,30.0,22.29,30.28,0.05
1.2,30.0,22.29,30.86,0.05
1.25,30.0,22.29,31.44,0.05
1.3,30.0,24.0,29.32,0.05
1.35,30.0,22.29,32.47,0.05
1.4,30.0,24.0,30.35,0.05
1.45,30.0,22.29,33.5,0.05
1.5,30.0,24.0,31.38,0.05
1.55,30.0,24.0,31.83,0.05
1.6,30.0,24.0,32.28,0.05
1.65,30.0,24.01,32.72,0.05
1.7,30.0,25.71,30.48,0.05
1.75,30.0,24.0,33.5,0.05
1.8,30.0,24.0,33.95,0.05
1.85,30.0,24.0,34.39,0.05
1.9,30.0,25.71,32.16,0.05
1.95,30.0,25.72,32.46,0.05
2.0,30.0,25.64,32.91,0.0501
2.05,30.0,24.07,35.71,0.0499
2.1,30.0,25.71,33.56,0.05
2.15,30.0,25.71,33.89,0.05
2.2,30.0,25.72,34.2,0.05
2.25,30.0,25.72,34.52,0.05
2.3,30.0,27.42,32.16,0.05
2.35,30.0,25.72,35.04,0.05
2.4,30.0,25.71,35.36,0.05
2.45,30.0,25.72,35.68,0.05
2.5,30.0,27.42,33.31,0.05
2.55,30.0,27.43,33.5,0.05
2.6,30.0,24.0,39.09,0.05
2.65,30.0,29.15,31.44,0.05
2.7,30.0,27.43,34.2,0.05
2.75,30.0,24.0,39.8,0.05
2.8,30.0,29.14,32.15,0.05
2.85,30.0,27.43,34.92,0.05
2.9,30.0,25.72,37.8,0.05
2.95,30.0,27.43,35.42,0.05
3.0,30.0,29.1,32.99,0.0501
3.05,30.0,25.75,38.33,0.0499
3.1,30.0,27.39,36.07,0.0501
3.15,30.0,29.19,33.43,0.0499
3.2,30.0,27.38,36.34,0.0501
3.25,30.0,25.76,39.09,0.0499
3.3,30.0,29.1,34.14,0.0501
3.35,30.0,29.19,34.07,0.0499
3.4,30.0,25.68,39.67,0.0501
3.45,30.0,29.19,34.46,0.0499
3.5,30.0,27.35,37.42,0.0501
3.55,30.0,29.23,34.65,0.0499
3.6,30.0,27.37,37.63,0.0501
3.65,30.0,27.47,37.68,0.0499
3.7,30.0,29.09,35.31,0.0501
3.75,30.0,29.2,35.21,0.0499
3.8,30.0,25.63,40.9,0.0502
3.85,30.0,30.96,32.83,0.0498
3.9,30.0,27.38,38.4,0.0501
3.95,30.0,29.2,35.73,0.0499
4.0,30.0,27.39,38.63,0.0501
4.05,30.0,29.18,36.01,0.0499
4.1,30.0,29.15,36.13,0.05
4.15,30.0,27.43,38.89,0.05
4.2,30.0,30.79,33.79,0.0501
4.252,30.0,28.32,37.62,0.0514
4.3,30.0,26.54,40.56,0.0485
4.35,30.0,30.87,34.0,0.05
4.4,30.0,29.14,36.65,0.05
4.45,30.0,27.43,39.41,0.05
4.5,30.0,29.14,36.91,0.05
4.55,30.0,29.15,36.96,0.05
4.6,30.0,29.14,37.04,0.05
4.65,30.0,29.14,37.1,0.05
4.7,30.0,29.14,37.16,0.05
4.75,30.0,29.1,37.29,0.0501
4.8,30.0,27.47,39.93,0.0499
4.85,30.0,30.86,34.78,0.05
4.9,30.0,29.14,37.43,0.05
4.95,30.0,27.44,40.17,0.05
