Time (s),Target (RPM),Actual (RPM)
0.0010380744934082031,30.0,0.0
0.05047202110290527,30.0,5.142857142857143
0.10065054893493652,30.0,10.285714285714286
0.1508321762084961,30.0,8.571428571428571
0.20079755783081055,30.0,10.285714285714286
0.25091981887817383,30.0,12.0
0.30097246170043945,30.0,12.0
0.35108256340026855,30.0,13.714285714285714
0.4011859893798828,30.0,13.714285714285714
0.45121049880981445,30.0,15.428571428571429
0.5012931823730469,30.0,15.428571428571429
0.5513608455657959,30.0,17.142857142857142
0.6015222072601318,30.0,17.142857142857142
0.6516296863555908,30.0,17.142857142857142
0.703657865524292,30.0,18.857142857142858
0.7526042461395264,30.0,20.571428571428573
0.8020119667053223,30.0,18.857142857142858
0.8520944118499756,30.0,20.571428571428573
0.9021666049957275,30.0,22.285714285714285
0.9522297382354736,30.0,20.571428571428573
1.0023162364959717,30.0,22.285714285714285
1.0524039268493652,30.0,22.285714285714285
1.1025197505950928,30.0,22.285714285714285
1.1526007652282715,30.0,24.0
1.202690601348877,30.0,24.0
1.2527790069580078,30.0,22.285714285714285
1.3028087615966797,30.0,25.714285714285715
1.3529565334320068,30.0,24.0
1.4029912948608398,30.0,24.0
1.4531128406524658,30.0,25.714285714285715
1.5032093524932861,30.0,25.714285714285715
1.553248405456543,30.0,25.714285714285715
1.6034505367279053,30.0,24.0
1.6534371376037598,30.0,27.428571428571427
1.7035613059997559,30.0,25.714285714285715
1.7536540031433105,30.0,27.428571428571427
1.8041443824768066,30.0,25.714285714285715
1.8540730476379395,30.0,27.428571428571427
1.9041588306427002,30.0,27.428571428571427
1.9542310237884521,30.0,27.428571428571427
2.004319906234741,30.0,25.714285714285715
2.05434513092041,30.0,29.142857142857142
2.104522466659546,30.0,27.428571428571427
2.154568910598755,30.0,25.714285714285715
2.2046725749969482,30.0,29.142857142857142
2.2547950744628906,30.0,27.428571428571427
2.3048031330108643,30.0,29.142857142857142
2.35493803024292,30.0,27.428571428571427
2.404967784881592,30.0,27.428571428571427
2.4550352096557617,30.0,29.142857142857142
2.505138397216797,30.0,29.142857142857142
2.5552008152008057,30.0,27.428571428571427
2.6053225994110107,30.0,29.142857142857142
2.655388832092285,30.0,29.142857142857142
2.7059884071350098,30.0,27.428571428571427
2.7556514739990234,30.0,30.857142857142858
2.8058016300201416,30.0,29.142857142857142
2.855755090713501,30.0,29.142857142857142
2.9059009552001953,30.0,27.428571428571427
2.955927610397339,30.0,30.857142857142858
3.0060677528381348,30.0,29.142857142857142
3.0566177368164062,30.0,29.142857142857142
3.106217861175537,30.0,29.142857142857142
3.1565375328063965,30.0,30.857142857142858
3.2064266204833984,30.0,27.428571428571427
3.2565202713012695,30.0,30.857142857142858
3.3065805435180664,30.0,29.142857142857142
3.3566501140594482,30.0,29.142857142857142
3.4067625999450684,30.0,29.142857142857142
3.45678448677063,30.0,30.857142857142858
3.506889820098877,30.0,29.142857142857142
3.5569310188293457,30.0,29.142857142857142
3.607079267501831,30.0,29.142857142857142
3.657107353210449,30.0,30.857142857142858
3.707703113555908,30.0,27.428571428571427
3.7573599815368652,30.0,32.57142857142857
3.8074748516082764,30.0,29.142857142857142
3.8574838638305664,30.0,29.142857142857142
3.9076390266418457,30.0,29.142857142857142
3.9576363563537598,30.0,30.857142857142858
4.007786273956299,30.0,29.142857142857142
4.0588250160217285,30.0,29.142857142857142
4.108236074447632,30.0,30.857142857142858
4.1583476066589355,30.0,29.142857142857142
4.208420038223267,30.0,29.142857142857142
4.258479833602905,30.0,30.857142857142858
4.3085713386535645,30.0,29.142857142857142
4.358642101287842,30.0,30.857142857142858
4.408753395080566,30.0,29.142857142857142
4.458837509155273,30.0,29.142857142857142
4.508914470672607,30.0,30.857142857142858
4.5589845180511475,30.0,30.857142857142858
4.609121322631836,30.0,27.428571428571427
4.659116506576538,30.0,30.857142857142858
4.709538221359253,30.0,29.142857142857142
4.759334564208984,30.0,30.857142857142858
4.809437990188599,30.0,29.142857142857142
4.859833240509033,30.0,30.857142857142858
4.909953355789185,30.0,29.142857142857142
4.960184097290039,30.0,29.142857142857142
